,gene_name,pathway
216,SPCS3,"Signal peptidase complex, SEC11A variant"
217,POLA1,DNA polymerase alpha:primase complex
218,POLA2,DNA polymerase alpha:primase complex
219,PRIM1,DNA polymerase alpha:primase complex
220,POLE,DNA polymerase epsilon complex
221,POLE2,DNA polymerase epsilon complex
222,POLE4,DNA polymerase epsilon complex
223,MCM3,MCM complex
224,MCM5,MCM complex
225,MCM7,MCM complex
226,IDH3A,Mitochondrial isocitrate dehydrogenase complex (NAD+)
227,IDH3B,Mitochondrial isocitrate dehydrogenase complex (NAD+)
228,CCNH,Cyclin-dependent protein kinase-activating kinase complex
229,CDK7,Cyclin-dependent protein kinase-activating kinase complex
230,EMC1,"Endoplasmic reticulum membrane complex, EMC8 variant"
231,EMC2,"Endoplasmic reticulum membrane complex, EMC8 variant"
232,EMC3,"Endoplasmic reticulum membrane complex, EMC8 variant"
233,COQ4,CoQ biosynthetic complex
234,COQ7,CoQ biosynthetic complex
235,COG3,COG tethering complex
236,COG4,COG tethering complex
237,COG6,COG tethering complex
238,COG7,COG tethering complex
239,COG8,COG tethering complex
240,FANCC,Fanconi anemia ubiquitin ligase complex
241,FANCG,Fanconi anemia ubiquitin ligase complex
242,CENPC,Kinetochore CCAN complex
243,CENPH,Kinetochore CCAN complex
244,CENPW,Kinetochore CCAN complex
245,KRT18,Keratin-8 - Keratin-18 dimer complex
246,KRT8,Keratin-8 - Keratin-18 dimer complex
247,PHB,Prohibitin complex
248,PHB2,Prohibitin complex
249,ELP2,Elongator holoenzyme complex
250,ELP4,Elongator holoenzyme complex
251,INO80D,INO80 chromatin remodeling complex
252,INO80E,INO80 chromatin remodeling complex
253,CHD4,MBD2/NuRD nucleosome remodeling and deacetylase complex
254,MTA2,MBD2/NuRD nucleosome remodeling and deacetylase complex
255,CPSF6,"mRNA cleavage factor I(m) complex, CPSF6 variant"
256,NUDT21,"mRNA cleavage factor I(m) complex, CPSF6 variant"
257,BRD8,NuA4 histone acetyltransferase complex
258,MBTD1,NuA4 histone acetyltransferase complex
259,MRGBP,NuA4 histone acetyltransferase complex
260,SMARCC1,"SWI/SNF ATP-dependent chromatin remodeling complex, ACTL6A-ARID1A-SMARCA2 variant"
261,SMARCD1,"SWI/SNF ATP-dependent chromatin remodeling complex, ACTL6A-ARID1A-SMARCA2 variant"
262,PPIE,Intron-binding complex
263,XAB2,Intron-binding complex
264,SEC61A1,"SEC61 protein-conducting channel complex, SEC1A1 variant"
265,SEC61B,"SEC61 protein-conducting channel complex, SEC1A1 variant"
266,SEC61G,"SEC61 protein-conducting channel complex, SEC1A1 variant"
267,ADRM1,19S proteasome regulatory complex
268,PSMC2,19S proteasome regulatory complex
269,PSMC6,19S proteasome regulatory complex
270,PSMD11,19S proteasome regulatory complex
271,PSMD14,19S proteasome regulatory complex
272,PSMD2,19S proteasome regulatory complex
273,PSMD4,19S proteasome regulatory complex
274,DCTN4,Dynactin complex
275,DCTN5,Dynactin complex
276,DYNC1H1,"Dynein-1 complex, variant 2"
277,DYNC1I2,"Dynein-1 complex, variant 2"
278,DYNC1LI1,"Dynein-1 complex, variant 2"
279,DYNLL1,"Dynein-1 complex, variant 2"
280,NOP56,"Box C/D snoRNA-Guided RNP methyltransferase complex, FBLL1 variant"
281,NOP58,"Box C/D snoRNA-Guided RNP methyltransferase complex, FBLL1 variant"
282,DENR,"DENR-MCTS1, translation reinitiation complex"
283,MCTS1,"DENR-MCTS1, translation reinitiation complex"
284,EFTUD2,"U5 small nuclear ribonucleoprotein complex, AAR2 variant"
285,SNRNP200,"U5 small nuclear ribonucleoprotein complex, AAR2 variant"
286,LSM4,LSM2-8 complex
287,LSM5,LSM2-8 complex
288,LSM6,LSM2-8 complex
289,CABIN1,"HIR histone chaperone complex, UBN1 variant"
290,UBN1,"HIR histone chaperone complex, UBN1 variant"
291,EIF2S1,Eukaryotic translation initiation factor 2 complex
292,EIF2S2,Eukaryotic translation initiation factor 2 complex
293,DDRGK1,UFM1 ribosome E3 ligase complex
294,UFL1,UFM1 ribosome E3 ligase complex
295,EIF2B2,Eukaryotic translation initiation factor 2B complex
296,EIF2B3,Eukaryotic translation initiation factor 2B complex
297,EIF2B4,Eukaryotic translation initiation factor 2B complex
298,EIF2B5,Eukaryotic translation initiation factor 2B complex
299,INTS1,Integrator core complex
300,INTS10,Integrator core complex
301,INTS11,Integrator core complex
302,INTS2,Integrator core complex
303,INTS5,Integrator core complex
304,INTS7,Integrator core complex
305,CD2BP2,U5 small nuclear ribonucleoprotein complete complex
306,PRPF6,U5 small nuclear ribonucleoprotein complete complex
307,SNRNP40,U5 small nuclear ribonucleoprotein complete complex
308,BUD31,"Intron Lariat Spliceosome, type 1 complex"
309,RBM22,"Intron Lariat Spliceosome, type 1 complex"
310,NTC,NTC
